Source,Target,Type,Id,Label,Weight
European Union’s Seventh Framework Programme,MAA,Undirected,864,,1
Faye Belsey,Gillian Vogelsang-Eastwood,Undirected,865,,1
Faye Belsey,Iraqi Women Art and War,Undirected,866,,1
Faye Belsey,Jenny Balfour-Paul ,Undirected,867,,1
Faye Belsey,Margaret Mary Vale,Undirected,868,,1
Faye Belsey,Nicola Bird,Undirected,869,,1
Faye Belsey,Nuha Abdo,Undirected,870,,1
Faye Belsey,PR,Undirected,871,,1
Faye Belsey,Reem Alalaf ,Undirected,872,,1
Faye Belsey,Refugee Resource,Undirected,873,,1
Faye Belsey,Sheila Paine,Undirected,874,,1
Faye Belsey,Shelagh Weir,Undirected,875,,1
Faye Belsey,Syrian Sisters,Undirected,876,,1
Faye Belsey,Widad Kawar,Undirected,877,,1
Faye Belsey,the History of Science Museum,Undirected,878,,1
Fundación AXA,MDP,Undirected,879,,1
Fundación BBVA,Hispanic Society of America,Undirected,880,,1
Fundación BBVA,MDP,Undirected,881,,1
Gillian Vogelsang-Eastwood,Iraqi Women Art and War,Undirected,882,,1
Gillian Vogelsang-Eastwood,Jenny Balfour-Paul ,Undirected,883,,1
Gillian Vogelsang-Eastwood,Margaret Mary Vale,Undirected,884,,1
Gillian Vogelsang-Eastwood,Nicola Bird,Undirected,885,,1
Gillian Vogelsang-Eastwood,Nuha Abdo,Undirected,886,,1
Gillian Vogelsang-Eastwood,PR,Undirected,887,,1
Gillian Vogelsang-Eastwood,Reem Alalaf ,Undirected,888,,1
Gillian Vogelsang-Eastwood,Refugee Resource,Undirected,889,,1
Gillian Vogelsang-Eastwood,Sheila Paine,Undirected,890,,1
Gillian Vogelsang-Eastwood,Shelagh Weir,Undirected,891,,1
Gillian Vogelsang-Eastwood,Syrian Sisters,Undirected,892,,1
Gillian Vogelsang-Eastwood,Widad Kawar,Undirected,893,,1
Gillian Vogelsang-Eastwood,the History of Science Museum,Undirected,894,,1
Hadiqa Khan,Jeremy Coote,Undirected,895,,1
Hadiqa Khan,PR,Undirected,896,,1
Hannah Oatley (Oxford Academic Health Science Network),Micro Scooters Ltd,Undirected,897,,1
Hannah Oatley (Oxford Academic Health Science Network),PR,Undirected,898,,1
Hannah Oatley (Oxford Academic Health Science Network),Rycotewood Furniture Centre,Undirected,899,,1
Hannah Oatley (Oxford Academic Health Science Network),Sarah and Trevor Young,Undirected,900,,1
Hannah Oatley (Oxford Academic Health Science Network),Stephanie Bevan (Herts Careline),Undirected,901,,1
Hannah Oatley (Oxford Academic Health Science Network),Suzy Prior,Undirected,902,,1
Hispanic Society of America,MDP,Undirected,903,,1
INDITEX,MRS,Undirected,904,,1
INDITEX,la Biblioteca y Centro de Documentación del Museo,Undirected,905,,1
Ian Cartwright,Nicholas Crowe,Undirected,906,,1
Ian Cartwright,PR,Undirected,907,,1
Ian Cartwright,RJA Mountmaking,Undirected,908,,1
Ian Cartwright,Rebecca Ash,Undirected,909,,1
Ikon Gallery in Birmingham,MAA,Undirected,910,,1
Ikon Gallery in Birmingham,UK Research and Innovation,Undirected,911,,1
Instituto de Historia del CSIC,MDA,Undirected,912,,1
Iraqi Women Art and War,Jenny Balfour-Paul,Undirected,913,,1
Iraqi Women Art and War,Jenny Balfour-Paul ,Undirected,914,,1
Iraqi Women Art and War,Margaret Mary Vale,Undirected,915,,1
Iraqi Women Art and War,Nicola Bird,Undirected,916,,1
Iraqi Women Art and War,Nuha Abdo,Undirected,917,,1
Iraqi Women Art and War,PR,Undirected,918,,2
